State,Percent Educational Attainment - Bachelor's degree or higher,Rank
Alabama,25.5,44
Alaska,30.2,28
Arizona,29.7,31
Arkansas,23.3,48
California,34.2,15
Colorado,41.7,2
Connecticut,39.6,5
Delaware,31.3,25
Florida,30.4,26
Georgia,31.9,21
Hawaii,33.5,18
Idaho,27.7,39
Illinois,35.1,12
Indiana,27.1,41
Iowa,29,36
Kansas,33.8,17
Kentucky,24.8,46
Louisiana,24.3,47
Maine,31.5,24
Maryland,40.8,4
Massachusetts,44.5,1
Michigan,29.6,32
Minnesota,36.7,11
Mississippi,23.2,49
Missouri,29.5,33
Montana,31.7,23
Nebraska,32.4,19
Nevada,24.9,45
New Hampshire,36.8,9
New Jersey,40.8,3
New Mexico,27.7,38
New York,37.2,8
North Carolina,31.9,20
North Dakota,29.7,30
Ohio,29,35
Oklahoma,25.6,43
Oregon,34,16
Pennsylvania,31.8,22
Rhode Island,34.4,14
South Carolina,28.3,37
South Dakota,29.2,34
Tennessee,27.5,40
Texas,30.3,27
Utah,34.9,13
Vermont,38.7,7
Virginia,39.3,6
Washington,36.7,10
West Virginia,21.3,50
Wisconsin,30,29
Wyoming,26.9,42
